DESIG,OBSID,RA,DEC,SN/g,SUBCLASS
LAMOST J012913.26+215636.3,56707027,22.305282,21.943443,79.08,Ap
LAMOST J223815.18+294756.7,1205222,339.563259,29.799103,73.28,F
LAMOST J040506.71+423800.8,37714248,61.277997,42.633575,68.37,Ap
LAMOST J140049.93-004059.5,49313173,210.20807,-0.683218,52.31,K
LAMOST J102243.23+261322.7,11406208,155.680165,26.222984,51.97,G
LAMOST J063341.72+154300.3,435508195,98.423855,15.716767,97.53,A
LAMOST J054537.62+424321.9,277407149,86.406781,42.72277,96.7,B
LAMOST J081008.99+052928.0,8405055,122.537465,5.491117,68.15,F
LAMOST J194350.72+273006.5,469006011,295.961374,27.501816,330.01,Ap
LAMOST J133624.53+163520.2,407112245,204.102224,16.588961,52.39,M
LAMOST J194527.55+292851.4,469013111,296.364803,29.480967,313.33,Ap
LAMOST J135046.84+435117.1,456714200,207.695172,43.854776,52.9,M
LAMOST J234824.29+300352.1,1315202,357.101236,30.064497,59.41,F
LAMOST J234818.11+281201.3,1305174,357.075482,28.200363,82.17,F
LAMOST J030112.00+542600.2,243905121,45.300002,54.433399,61.8,A
LAMOST J153411.90+535259.9,53216178,233.54961,53.883324,153.33,K
LAMOST J042434.64+402138.7,413807201,66.144347,40.360771,55.45,M
LAMOST J064637.49+101544.2,714006169,101.65624,10.262285,80.2,Ap
LAMOST J062556.30+200604.9,431603005,96.485574,20.101289,147.81,A
LAMOST J053117.45+160348.1,374409003,82.822738,16.063388,52.12,M
LAMOST J080715.39+264307.4,2001250,121.81414,26.718739,55.18,F
LAMOST J011109.28+573351.6,469313031,17.788671,57.564352,116.52,Ap
LAMOST J054332.19+090923.9,476108143,85.884149,9.15666,53.91,M
LAMOST J015552.94+064805.2,55702178,28.970602,6.801471,53.87,K
LAMOST J095325.02+332135.1,18611236,148.353101,33.359753,90.82,G
LAMOST J005419.01+271530.3,379504164,13.579226,27.258443,129.72,M
LAMOST J062256.30+171516.8,894602054,95.734595,17.254675,53.83,Ap
LAMOST J065138.24+011435.2,898102019,102.910513,1.24259,75.32,B
LAMOST J080342.68+272702.8,2002127,120.92786,27.45078,75.26,F
LAMOST J063756.71+174801.5,446214118,99.48631,17.800428,119.71,A
LAMOST J092654.39+282728.1,15913176,141.72663,28.45783,52.2,G
LAMOST J192051.93+382559.4,52505074,290.216375,38.433194,249.31,K
LAMOST J064334.09+032429.7,385412007,100.892064,3.408257,160.25,B
LAMOST J194524.19+275242.1,469006183,296.350816,27.878387,85.44,A
LAMOST J013340.46+465346.9,393006144,23.418088,46.89637,459.29,B
LAMOST J053944.05+342620.5,297005096,84.933577,34.439031,88.72,B
LAMOST J223428.32+290342.5,1202202,338.618005,29.061806,93.54,F
LAMOST J090001.84+185759.5,48512032,135.0077,18.966555,55.99,K
LAMOST J191717.65+393208.9,52503102,289.323583,39.535806,59.17,K
LAMOST J052919.83+483512.6,253803143,82.332627,48.586841,210.11,A
LAMOST J072113.69+100706.5,446303240,110.30705,10.118498,64.91,M
LAMOST J043055.05+524557.0,361710151,67.729414,52.765842,75,B
